Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Tai_lNum,FlightNum,Origin_Airport,Origin_City_Name,Origin_State,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Dep_Delay_Groups,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15,Cancelled,Diverted,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers,Top_Origin,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2016,7,3,7,03/07/2016,AA,N783AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1708,-21,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,4,1,04/07/2016,AA,N784AA,2,LAX,"Los Angeles, CA",CA,900,859,-1,0,-1,1729,1731,2,2,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,5,2,05/07/2016,AA,N783AA,2,LAX,"Los Angeles, CA",CA,900,940,40,1,2,1729,1808,39,39,1,0,0,2475,10,39,0,0,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,6,3,06/07/2016,AA,N791AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1728,-1,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,7,4,07/07/2016,AA,N798AA,2,LAX,"Los Angeles, CA",CA,900,1054,114,1,7,1729,1910,101,101,1,0,0,2475,10,0,0,101,0,0,1,1,0600-1200,1000-1200,1000-1100
2016,7,8,5,08/07/2016,AA,N784AA,2,LAX,"Los Angeles, CA",CA,900,906,6,0,0,1729,1745,16,16,1,0,0,2475,10,0,0,16,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,9,6,09/07/2016,AA,N796AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1732,3,3,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,10,7,10/07/2016,AA,N794AA,2,LAX,"Los Angeles, CA",CA,900,852,-8,0,-1,1729,1727,-2,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,11,1,11/07/2016,AA,N792AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1737,8,8,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,12,2,12/07/2016,AA,N788AA,2,LAX,"Los Angeles, CA",CA,900,854,-6,0,-1,1729,1748,19,19,1,0,0,2475,10,0,0,19,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,13,3,13/07/2016,AA,N797AA,2,LAX,"Los Angeles, CA",CA,900,854,-6,0,-1,1729,1725,-4,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,14,4,14/07/2016,AA,N798AA,2,LAX,"Los Angeles, CA",CA,900,910,10,0,0,1729,1808,39,39,1,0,0,2475,10,0,0,39,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,15,5,15/07/2016,AA,N785AA,2,LAX,"Los Angeles, CA",CA,900,858,-2,0,-1,1729,1750,21,21,1,0,0,2475,10,0,0,21,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,16,6,16/07/2016,AA,N784AA,2,LAX,"Los Angeles, CA",CA,900,855,-5,0,-1,1729,1747,18,18,1,0,0,2475,10,0,0,18,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,17,7,17/07/2016,AA,N794AA,2,LAX,"Los Angeles, CA",CA,900,853,-7,0,-1,1729,1725,-4,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,18,1,18/07/2016,AA,N795AA,2,LAX,"Los Angeles, CA",CA,900,913,13,0,0,1729,1717,-12,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,19,2,19/07/2016,AA,N783AA,2,LAX,"Los Angeles, CA",CA,900,857,-3,0,-1,1729,1745,16,16,1,0,0,2475,10,0,0,16,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,20,3,20/07/2016,AA,N796AA,2,LAX,"Los Angeles, CA",CA,900,856,-4,0,-1,1729,1741,12,12,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,21,4,21/07/2016,AA,N791AA,2,LAX,"Los Angeles, CA",CA,900,903,3,0,0,1729,1815,46,46,1,0,0,2475,10,0,0,46,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,22,5,22/07/2016,AA,N792AA,2,LAX,"Los Angeles, CA",CA,900,900,0,0,0,1729,1751,22,22,1,0,0,2475,10,0,0,22,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,23,6,23/07/2016,AA,N799AA,2,LAX,"Los Angeles, CA",CA,900,851,-9,0,-1,1729,1718,-11,0,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
